AD,LGA,population,reg.voter,valid.votes,rej.votes,tot.polled,slpp.votes,unp.votes,upfa.slfp.votes,jvp.votes,other.votes,sinhala.buddhist,minority
Colombo,Colombo.MC,318048,394044,284980,7023,292003,60087,131353,31421,14234,47885,79468,47885
Colombo,Moratuwa.MC,168280,119043,94701,1603,96304,44944,31521,8586,6889,2761,158738,9542
Galle,BopePoddala.PS,65747,49804,38839,770,39609,17777,13185,2610,3952,1315,55359,10388
Galle,Galle.MC,86333,71858,55442,1026,56468,20096,22270,5532,5177,2367,60885,25448
Gampaha,Attanagala.PS,179565,139243,108808,1892,110700,49949,26904,13300,8133,10522,155593,23972
Gampaha,Negombo.UC,141676,110383,79428,1465,80893,26129,32045,9661,4971,6622,107155,34521
Jaffna,Delft.PS,3819,3174,2507,17,2524,0,97,25,0,2385,38,3781
Jaffna,Jaffna.MC,50759,56245,40330,586,40916,0,2423,1479,242,38186,504,50255
Jaffna,ValikamamEast.PS,73298,52517,35054,749,35803,0,884,2703,0,31467,252,73046
Kalutara,Beruwala.PS,164969,95185,75731,1163,76894,35735,23763,8157,3968,4108,105883,59086
Kalutara,Panadura.PS,181724,113803,90183,1431,91614,44559,26621,10740,6793,1470,153840,27884
Kandy,Kundasale.PS,127070,100562,79079,1653,80732,33887,24699,8964,4333,7196,104979,22091
Kandy,Medadumbara.PS,61034,49729,40233,924,41157,17872,12223,6210,1398,2530,45813,15221
Kandy,Udunuwara.PS,110905,86234,68466,1462,69928,27814,23912,10873,2558,3309,80679,30226
Mullaitivu,PKY.PS,33867,25408,24949,459,25408,164,2857,2136,76,19716,75,33792
Puttalam,Chilaw.UC,23078,17754,12146,287,12433,3296,4318,3791,741,0,18961,4117
Trincomalee,Kinniya.UC,64451,25410,20528,243,20771,621,3651,2459,10,13787,19,64432
Trincomalee,TT.Gravets,97234,35167,27663,496,28159,6177,3955,2277,594,14660,30,97204
Vavuniya,VGS.PS,29770,16680,12686,211,12897,453,2802,2923,142,6366,667,29103
Vavuniya,Vavuniya.UC,117153,20300,13462,208,13670,445,1869,2103,29,9016,3424,113729
